id,timestamp,question_title,chapter_id,correct_answer,distractor_1,distractor_2,distractor_3,source,author,description_llm,is_disabled
23,10/04/2024 23:08:05,Using existing records to try to answer a research question is known as ________.,2,archival research,naturalistic observation,survey research,longitudinal research,Book,,"<div> 
<p><b>Archival research</b> involves analyzing existing records and data to answer research questions. This method is beneficial because it allows researchers to utilize previously collected data without requiring new data collection, saving time and resources.</p>

<p>On the other hand, <b>naturalistic observation</b> entails observing subjects in their natural environments without interference, which does not involve existing records. <b>Survey research</b> gathers data through questionnaires or interviews to understand opinions or behaviors, rather than using pre-existing data. Finally, <b>longitudinal research</b> studies the same subjects over an extended period, which again does not focus on pre-existing records but rather on new data gathered over time.</p>
</div>",0
24,10/04/2024 23:08:05,________ involves following a group of research participants for an extended period of time.,2,longitudinal research,archival research,naturalistic observation,cross-sectional research,Book,,"<div>
<p><b>Longitudinal research</b> is the correct answer because it specifically refers to the study design where researchers observe the same group of participants over a long period. This method allows for the examination of changes and developments within the same individuals over time.</p>

<p>On the other hand, <b>archival research</b> involves analyzing existing data collected for other purposes, rather than directly following participants. <b>Naturalistic observation</b> focuses on observing subjects in their natural environment without interference but does not involve tracking the same individuals over time. Lastly, <b>cross-sectional research</b> looks at different groups of people at a single point in time, rather than following the same participants longitudinally.</p>
</div>",0
25,10/04/2024 23:08:05,A(n) ________ is a list of questions developed by a researcher that can be administered in paper form.,2,survey,archive,case study,naturalistic observation,Book,,"<div> 
<p><b>Survey</b> is the correct answer because it specifically refers to a method of data collection that involves a set of questions designed to gather information from respondents, often presented in a paper format. Surveys can be used to assess opinions, behaviors, or characteristics of a population.</p>

<p>The term <b>archive</b> refers to a collection of historical documents or records, which does not pertain to a data collection method involving questions. A <b>case study</b> involves an in-depth analysis of a specific individual or group, rather than a structured list of questions. Lastly, <b>naturalistic observation</b> is a research method where behavior is observed in its natural environment without interference, also not involving a question list.</p>
</div>",0
26,10/04/2024 23:08:05,Longitudinal research is complicated by high rates of ________.,2,attrition,deception,observation,generalization,Book,,"<div> 
<p>Longitudinal research involves studying the same individuals over a long period of time, which can lead to high rates of <b>attrition</b>. This means participants may drop out of the study, making it difficult to maintain a consistent sample and potentially skewing the results.</p> 

<p>The other options are not as relevant: <b>deception</b> refers to misleading participants about the study's purpose, which is more related to ethical concerns than the structure of longitudinal studies. <b>Observation</b> is a method of data collection and does not inherently complicate longitudinal studies. Lastly, <b>generalization</b> pertains to applying findings to a broader population, and while it can be a concern in research, it is not specifically complicated by the nature of longitudinal designs.</p> 
</div>",0
27,10/04/2024 23:08:05,Height and weight are positively correlated. This means that:,2,"As height increases, typically weight increases.",There is no relationship between height and weight.,"Usually, the taller someone is, the thinner they are.","Usually, the shorter someone is, the heavier they are.",Book,,"<div>
<p><b>Height and weight are positively correlated</b>, which indicates that as one variable increases, the other tends to increase as well. Therefore, the correct understanding is that as height increases, typically weight increases. This relationship is often observed in various populations.</p>

<p>The first option incorrectly states that there is no relationship between height and weight, which contradicts the concept of positive correlation. The second option suggests that taller individuals are usually thinner, which is not accurate in the context of correlation. Similarly, the third option implies that shorter individuals tend to be heavier, which also misrepresents the relationship. Both the second and third options overlook the general trend indicated by the positive correlation.</p>
</div>",0
28,10/04/2024 23:08:05,Which of the following correlation coefficients indicates the strongest relationship between two variables?,2,–.90,–.50,0.8,0.25,Book,,"<div> 
<p>The strongest correlation coefficient among the options is –.90, which indicates a strong negative relationship between two variables. This means that as one variable increases, the other tends to decrease significantly.</p> 

<p>In contrast, a coefficient of –.50 suggests a moderate negative relationship, while 0.8 indicates a strong positive relationship but is not as strong as –.90. Lastly, 0.25 represents a weak positive relationship, signifying little to no correlation. Understanding these coefficients helps in interpreting the strength and direction of relationships in research.</p> 
</div>",0
29,10/04/2024 23:08:05,Which statement best illustrates a negative correlation between the number of hours spent watching TV the week before an exam and the grade on that exam?,2,Students who watch more television perform more poorly on their exams.,Watching too much television leads to poor exam performance.,Smart students watch less television.,Viewing television interferes with a student’s ability to prepare for the upcoming exam.,Book,,"<div>
    <p>The statement ""Students who watch more television perform more poorly on their exams"" clearly demonstrates a negative correlation because it indicates that as the number of hours spent watching TV increases, exam performance decreases. This aligns directly with the definition of a negative correlation.</p>
    
    <p>On the other hand, the statement about watching too much television leading to poor exam performance suggests a causal relationship rather than a correlation. Similarly, the assertion that smart students watch less television and the idea that viewing television interferes with preparation imply other factors influencing performance, rather than simply showing a correlation between the two variables. Thus, these options do not effectively illustrate a negative correlation.</p>
</div>",0
30,10/04/2024 23:08:05,The correlation coefficient indicates the weakest relationship when ________.,2,it is closest to 0,it is closest to -1,it is positive,it is negative,Book,,"<div> 
<p>The correlation coefficient measures the strength and direction of a relationship between two variables. When the coefficient is closest to 0, it indicates a very weak or no relationship at all between the variables. This is why the correct answer is ""it is closest to 0.""</p> 

<p>In contrast, a coefficient close to -1 indicates a strong negative relationship, meaning that as one variable increases, the other decreases significantly. A positive coefficient suggests a strong positive relationship, where both variables tend to increase together. Therefore, options that suggest strong relationships, either negative or positive, do not represent the weakest relationship.</p> 
</div>",0
31,10/04/2024 23:09:21,________ means that everyone in the population has the same likelihood of being asked to participate in the study.,2,random sampling,operationalizing,placebo effect,random assignment,Book,,"<div> 
<p><b>Random sampling</b> is the correct answer because it ensures that every individual in the population has an equal chance of being selected for participation in a study. This method enhances the representativeness of the sample, allowing for more generalizable results.</p>

<p>The term <b>operationalizing</b> refers to the process of defining variables in a way that they can be measured, but it does not pertain to selection methods for participants. The <b>placebo effect</b> describes the phenomenon where participants experience changes simply because they believe they are receiving treatment, unrelated to the selection process. Lastly, <b>random assignment</b> involves assigning participants to different groups within a study to ensure that each group is similar, which is different from how participants are selected in the first place.</p>
</div>",0
32,10/04/2024 23:09:21,"The ________ is controlled by the experimenter, while the ________ represents the information collected and statistically analyzed by the experimenter.",2,independent variable; dependent variable,dependent variable; independent variable,placebo effect; experimenter bias,experiment bias; placebo effect,Book,,"<div> 
<p>The correct answer identifies the roles of the independent and dependent variables in an experiment. The <b>independent variable</b> is the factor that the experimenter manipulates to observe its effect, while the <b>dependent variable</b> is the outcome that is measured to assess the impact of the independent variable.</p>

<p>The other options are incorrect because they confuse the definitions: the dependent variable is not controlled by the experimenter, and terms like placebo effect and experimenter bias do not accurately describe the relationship between the manipulated and measured variables in an experimental setup.</p>
</div>",0
33,10/04/2024 23:09:21,Researchers must ________ important concepts in their studies so others would have a clear understanding of exactly how those concepts were defined.,2,operationalize,randomly assign,randomly select,generalize,Book,,"<div> 
<p>The correct answer is <b>operationalize</b>, which means defining variables in measurable terms. This is essential in research, as it ensures that all scholars interpreting the study have a clear understanding of the concepts being examined.</p> 

<p>The other options are incorrect for the following reasons: <b>randomly assign</b> refers to the method of placing participants into different groups to ensure that the results are not biased, which does not address the definition of concepts. <b>randomly select</b> pertains to choosing participants for a study from a larger population, also unrelated to defining concepts. Finally, <b>generalize</b> involves applying findings from a sample to a larger population, but it does not involve the specific definition of concepts needed for clarity in research.</p> 
</div>",0
34,10/04/2024 23:09:21,"Sometimes, researchers will administer a(n) ________ to participants in the control group to control for the effects that participant expectation might have on the experiment.",2,placebo,dependent variable,independent variable,statistical analysis,Book,,"<div> 
<p>The correct answer is <b>placebo</b>, as it refers to a treatment or substance with no therapeutic effect that is given to control group participants. This helps researchers determine if changes in the experimental group are due to the treatment itself or participants' expectations about the treatment.</p>

<p>The term <b>dependent variable</b> describes the outcome measured in an experiment, not something administered to participants. Similarly, the <b>independent variable</b> is the factor that researchers manipulate, rather than something given to control participants. Lastly, <b>statistical analysis</b> refers to the methods used to interpret data and does not involve participant administration.</p>
</div>",0
35,10/04/2024 23:09:21,________ is to animal research as ________ is to human research.,2,IACUC; IRB,informed consent; deception,IRB; IACUC,deception; debriefing,Book,,"<div> 
<p><b>IACUC</b> stands for Institutional Animal Care and Use Committee, which is responsible for overseeing animal research to ensure ethical treatment and compliance with regulations. In contrast, <b>IRB</b> stands for Institutional Review Board, which reviews research proposals involving human subjects to protect their rights and welfare.</p>
<p>The other options do not accurately match the roles of the committees. Informed consent and deception relate to ethical guidelines for conducting research but do not represent the specific committees responsible for animal and human research oversight. Additionally, the mention of debriefing is relevant to human research but not to animal research, further distinguishing the correct pairs.</p>
</div>",0
36,10/04/2024 23:09:21,Researchers might use ________ when providing participants with the full details of the experiment could skew their responses.,2,deception,informed consent,ethics,debriefing,Book,,"<div> 
<p>The correct answer is <b>deception</b>, which is employed in research to prevent participants from being influenced by knowledge of the study's true purpose, ensuring that their responses remain authentic. This technique can be essential for obtaining valid data, as participants may alter their behavior if they are fully aware of the study's intentions.</p>

<p>Informed consent involves informing participants about the study's procedures and risks, but it may lead to biased results if participants know too much. Ethics refers to the moral principles guiding research practices, which do not specifically address the need for withholding information. Debriefing is a process that occurs after the study, where participants are informed about the true nature of the research, but it does not prevent the potential bias during the experiment itself. </p>
</div>",0
37,10/04/2024 23:09:21,A person’s participation in a research project must be ________.,2,voluntary,random,rewarded,public,Book,,"<div> 
<p>The correct answer is <b>voluntary</b> because ethical guidelines in research require that participants willingly choose to take part in a study without any coercion. This ensures that individuals can make informed decisions regarding their involvement, respecting their autonomy and rights.</p>

<p>The other options are incorrect. Participation does not need to be <b>random</b> as that pertains to sampling methods rather than the requirement for individual consent. While participants may sometimes receive <b>rewards</b> for their participation, it is not a mandatory condition for ethical research. Lastly, participation does not have to be <b>public</b>; in fact, many studies prioritize confidentiality and privacy for their participants.</p>
</div>",0
38,10/04/2024 23:09:21,"Before participating in an experiment, individuals should read and sign the ________ form.",2,informed consent,debriefing,IRB,ethics,Book,,"<div><p>The correct answer is <b>informed consent</b> because this form ensures that participants are fully aware of the nature of the study, including any risks or benefits, before agreeing to take part. It fosters transparency and protects the rights of individuals in research.</p><p>On the other hand, the <b>debriefing</b> form is provided after the study to explain the research and address any questions or concerns, not before participation. The <b>IRB</b> refers to the Institutional Review Board, which reviews research proposals to ensure ethical standards are met, but it is not a form signed by participants. Lastly, while <b>ethics</b> is a broad term concerning moral principles in research, it does not refer to a specific form that participants sign prior to an experiment.</p></div>",0
39,10/04/2024 23:10:59,"A(n) ________ is a sudden, permanent change in a sequence of DNA.",3,mutation,allele,chromosome,epigenetic,Book,,"<div><p>A <b>mutation</b> refers to a sudden and permanent alteration in the DNA sequence, which can lead to changes in genetic information. This is a fundamental concept in genetics, as mutations can affect how traits are expressed in organisms.</p><p>In contrast, an <b>allele</b> is a variant form of a gene found at a specific position on a chromosome, but it does not imply a change in the DNA sequence itself. A <b>chromosome</b> is a long DNA molecule that contains many genes and is not a term that describes a change in DNA. Lastly, <b>epigenetic</b> changes refer to modifications that affect gene expression without altering the DNA sequence, making it distinct from the concept of mutations.</p></div>",0
40,10/04/2024 23:10:59,"________ refers to a person’s genetic makeup, while ________ refers to a person’s physical characteristics.",3,Genotype; phenotype,Phenotype; genotype,DNA; gene,Gene; DNA,Book,,"<div> 
<p><b>Genotype</b> refers to the genetic makeup of an individual, including the specific alleles they carry for certain traits. In contrast, <b>phenotype</b> describes the observable physical characteristics that result from the interaction of the genotype with the environment.</p>

<pThe other options are incorrect because:</p>
<ul>
<li>Phenotype and genotype are reversed in the first option, which leads to confusion regarding definitions.</li>
<li>DNA and gene do not correctly distinguish between genetic makeup and physical traits, as a gene is a segment of DNA that influences a trait.</li>
<li>Similarly, gene and DNA do not provide the clear distinction needed between what traits are expressed and the underlying genetic information.</li>
</ul>
</div>",0
41,10/04/2024 23:10:59,________ is the field of study that focuses on genes and their expression.,3,Epigenetics,Social psychology,Evolutionary psychology,Behavioral neuroscience,Book,,"<div> 
<p><b>Epigenetics</b> is the correct answer because it specifically studies how genes are expressed and regulated, including how environmental factors can influence this process. It examines the mechanisms that turn genes on or off without altering the DNA sequence itself.</p>

<p>In contrast, <b>social psychology</b> focuses on how individuals' thoughts, feelings, and behaviors are influenced by the social environment and the presence of others, rather than genetic factors. <b>Evolutionary psychology</b> explores how evolutionary principles shape psychological processes, but it does not specifically address gene expression. Lastly, <b>behavioral neuroscience</b> investigates the biological bases of behavior, including the brain and nervous system, but does not center on the expression of genes specifically.</p>
</div>",0
42,10/04/2024 23:10:59,Humans have ________ pairs of chromosomes.,3,23,15,46,78,Book,,"<div> 
<p>The correct answer is 23, as humans have 23 pairs of chromosomes, which totals 46 individual chromosomes. Each pair consists of one chromosome from each parent, which is essential for genetic diversity and inheritance.</p> 

<p>The other options are incorrect because 15 does not represent the actual number of pairs in humans; instead, it is too low. The number 46 refers to the total number of chromosomes, not pairs. Lastly, 78 is also incorrect, as it exceeds the normal chromosome count found in humans.</p> 
</div>",0
